"","index","study_id","id","author","year","group","group_id","group_desc","url","country","region","city","time_MAX","time_50","time_MIN","detailed_time","exp_dur","fu_dur","age_base","age_SD","days_ps","days_cat","yrs_ps","stroke_type","nihss_base","mmse_base","mMmse_base","fim_base","brunstrom_base","frenchay_base","fac_base","barthel_base","mBarthel_base","motricity_base","BBS_base","BBT_base","gcs_base","MAS_base","sis_base","rivermead_base","ashworth_base","mAshworth_base","rankin_base","bdi_base","cesd_base","OPS_base","terminal_dropout","outcome_name","outcome_extremity","ue_subscale","le_subscale","fma_outcome","speed_outcome","SCOAR_outcome","p_outcome_stated","itt_analysis","base_n","base_m","base_sd","difference_score","term_n","term_m","term_sd","diff_base","diff_term","fu_n","fu_m","fu_sd","est_corr","term_diff","term_s_diff","fu_diff","fu_s_diff","term_d","fu_d","j_corr_factor","term_g","fu_g","term_Vd","fu_Vd","term_Vg","fu_Vg","exp.c","DPS.c","rtDPS","rtDPS.c","time50.c","rtTIME","rtTIME.c","age.c","DUR.c","rtDUR","rtDUR.c"
"183",183,55,"harris2009","harris","2009","ctrl",119,"usual care","http://www.ncbi.nlm.nih.gov/pubmed/19359633","canada","","vancouver",31.2,31.2,31.2,2,28,118,69.3,11.7,20.8,"<90days",0.056986301,1,NA,"26.9","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"Chedoke Arm Hand","","","","","","lohse",1,1,50,32.7,17.2,0,50,40.1,14.7,NA,NA,50,45.4,7.9,0.5,7.4,15.99890621,12.7,13.38375881,0.462531619,0.948911302,0.984615385,0.455415748,0.934312666,0.022139355,0.029004327,0.021463384,0.028118751,-0.5,-592.653795379538,4.56070170039655,-15.7847100545026,1.39405940594059,5.58569601750758,0.821328090151868,8.31045544554456,-14.0555775577558,5.29150262212918,-0.825679316863087
"190",190,58,"hesse2011","hesse","2011","ctrl",124,"continuous low intensity","http://www.ncbi.nlm.nih.gov/pubmed/7762049","germany","","berlin",65,65,65,1,365,455,61.9,9.4,103.6,"<1year",0.283835616,1,NA,"","","","",NA,"","",NA,"",NA,8.6,NA,"","",8.5,"","5.3","",NA,"",NA,0,"rivermead mobility","","","","","","lohse",1,1,25,8.5,3.5,0,25,11.2,2.7,NA,NA,25,11.3,2.7,0.5,2.7,3.125699922,2.8,3.125699922,0.863806529,0.895799363,0.968421053,0.836528428,0.867510962,0.054923234,0.05604913,0.05150917,0.052565079,-0.5,-509.853795379538,10.1784085199996,-10.1670032348996,35.1940594059406,8.06225774829855,3.29788982094284,0.910455445544557,322.944422442244,19.1049731745428,12.9877912355505
"191",191,58,"hesse2011","hesse","2011","exp",125,"intermittent high intensity","http://www.ncbi.nlm.nih.gov/pubmed/7762049","germany","","berlin",120,120,120,1,365,455,62.4,11.3,114.8,"<1year",0.314520548,1,NA,"","","","",NA,"","",NA,"",NA,8.1,NA,"","",9.4,"","6.7","",NA,"",NA,0,"rivermead mobility","","","","","","lohse",1,1,25,9.4,2.8,0,25,12.2,2.1,NA,NA,25,12.2,1.7,0.5,2.8,2.474873734,2.8,2.316246964,1.13137085,1.208852097,0.968421053,1.095643349,1.17067782,0.0656,0.069226468,0.06152226,0.064923305,0.5,-498.653795379538,10.7144761887831,-9.63093556611609,90.1940594059406,10.9544511501033,6.19008322274761,1.41045544554456,322.944422442244,19.1049731745428,12.9877912355505
"194",194,59,"hidler2009","hidler","2009","exp",126,"lokomat gait training","http://www.ncbi.nlm.nih.gov/pubmed/19109447","usa","DC","washington DC",24,24,24,3,63,153,59.5,9.4,110.9,"<1year",0.303835616,1,NA,"26.7","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"8.2",NA,5,"gait speed SSV","le","","speed","","speed","lohse",1,0,33,0.34,0.172,1,33,0.46,NA,1,0,33,0.49,NA,0.5,0.12,0.172,0.15,0.172,0.697674419,0.872093023,0.976377953,0.681193921,0.851492401,0.037678024,0.041826458,0.035918984,0.039873744,0.5,-502.553795379538,10.5309068935206,-9.81450486137858,-5.80594059405941,4.89897948556636,0.134611558210648,-1.48954455445544,20.9444224422442,7.93725393319377,1.8200719942015
"195",195,59,"hidler2009","hidler","2009","ctrl",127,"conventional gait training","http://www.ncbi.nlm.nih.gov/pubmed/19109447","usa","DC","washington DC",24,24,24,3,63,153,54.6,11.3,138.9,"<1year",0.380547945,1,NA,"26.8","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"7.4",NA,4,"gait speed SSV","le","","speed","","speed","lohse",1,0,30,0.35,0.164,1,30,0.6,NA,1,0,30,0.65,NA,0.5,0.25,0.164,0.3,0.164,1.524390244,1.829268293,0.973913043,1.484623542,1.78154825,0.07206276,0.089103708,0.068352005,0.084515457,-0.5,-474.553795379538,11.7855844148689,-8.55982734003032,-5.80594059405941,4.89897948556636,0.134611558210648,-6.38954455445544,20.9444224422442,7.93725393319377,1.8200719942015
"204",204,61,"housman2009","housman","2009","exp",130,"T-WREX assisted UE therapy","http://www.ncbi.nlm.nih.gov/pubmed/19237734","usa","IL","chicago",24,24,24,2,63,243,54.2,NA,2535,">1year",6.945205479,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"fma-ue","ue","fma","","fma","","lohse",1,0,14,21.7,5.9,1,14,25,NA,1,0,14,25.3,NA,0.5,3.3,5.9,3.6,5.9,0.559322034,0.610169492,0.941176471,0.526420738,0.574277168,0.082601469,0.084725243,0.073169468,0.075050734,0.5,1921.54620462046,50.3487835006964,30.0033717457972,-5.80594059405941,4.89897948556636,0.134611558210648,-6.78954455445544,20.9444224422442,7.93725393319377,1.8200719942015
"205",205,61,"housman2009","housman","2009","ctrl",131,"conventional physical and occupational therapy","http://www.ncbi.nlm.nih.gov/pubmed/19237734","usa","IL","chicago",24,24,24,2,63,243,56.4,NA,3372,">1year",9.238356164,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"fma-ue","ue","fma","","fma","","lohse",1,0,14,18.1,5,1,14,20.3,NA,1,0,14,19.6,NA,0.5,2.2,5,1.5,5,0.44,0.3,0.941176471,0.414117647,0.282352941,0.078342857,0.074642857,0.069397133,0.066119624,-0.5,2758.54620462046,58.0689245638319,37.7235128089327,-5.80594059405941,4.89897948556636,0.134611558210648,-4.58954455445544,20.9444224422442,7.93725393319377,1.8200719942015
"206",206,62,"hsieh2011","hsieh","2011","ctrl",132,"conventional physical and occupational therapy","http://www.ncbi.nlm.nih.gov/pubmed/21436390","taiwan","","taipei",30,30,30,1,28,NA,54,NA,849,">1year",2.326027397,0,NA,"28.67","","","",NA,"","",NA,"",NA,NA,NA,"0.66","",NA,"","","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,1,6,37.5,11.67,0,6,40.33,11.86,NA,NA,NA,NA,NA,0.5,2.83,11.76538355,NA,11.67,0.240536145,NA,0.842105263,0.202556753,NA,0.171488136,NA,0.121609316,NA,-0.5,235.546204620462,29.1376045686669,8.79219281376774,0.194059405940592,5.47722557505166,0.712857647695953,-6.98954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"207",207,62,"hsieh2011","hsieh","2011","exp",133,"low dose robot assisted therapy","http://www.ncbi.nlm.nih.gov/pubmed/21436390","taiwan","","taipei",30,30,30,4,28,NA,52.45,NA,390,">1year",1.068493151,0,NA,"27.3","","","",NA,"","",NA,"",NA,NA,NA,"0.57","",NA,"","","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,1,6,37.67,10,0,6,40,10.47,NA,NA,NA,NA,NA,0.5,2.33,10.2376975,NA,10,0.227590237,NA,0.842105263,0.191654936,NA,0.17098311,NA,0.12125118,NA,0.5,-223.453795379538,19.7484176581315,-0.596994096767695,0.194059405940592,5.47722557505166,0.712857647695953,-8.53954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"208",208,62,"hsieh2011","hsieh","2011","exp",134,"high dose robot assisted therapy","http://www.ncbi.nlm.nih.gov/pubmed/21436390","taiwan","","taipei",30,30,30,4,28,NA,56.04,NA,639,">1year",1.750684932,0,NA,"27.3","","","",NA,"","",NA,"",NA,NA,NA,"0.64","",NA,"","","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,1,6,44,8.17,0,6,49.33,8.34,NA,NA,NA,NA,NA,0.5,5.33,8.255437602,NA,8.17,0.645635066,NA,0.842105263,0.543692687,NA,0.20140372,NA,0.142823691,NA,0.5,25.546204620462,25.2784493195291,4.93303756462988,0.194059405940592,5.47722557505166,0.712857647695953,-4.94954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"209",209,63,"hsieh2012","hsieh","2012","ctrl",135,"conventional physical and occupational therapy","http://www.ncbi.nlm.nih.gov/pubmed/22895994","taiwan","","taipei",30,30,30,1,28,NA,54.83,NA,672,">1year",1.84109589,1,NA,"28.3","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,1,"fma-ue","ue","fma","","fma","","lohse",1,1,18,44.61,11.06,0,18,47.56,10.5,NA,NA,NA,NA,NA,0.5,2.95,10.78363575,NA,11.06,0.273562653,NA,0.955223881,0.261313579,NA,0.057634348,NA,0.052588614,NA,-0.5,58.546204620462,25.9229627936314,5.57755103873225,0.194059405940592,5.47722557505166,0.712857647695953,-6.15954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"210",210,63,"hsieh2012","hsieh","2012","exp",136,"low dose robot assisted therapy","http://www.ncbi.nlm.nih.gov/pubmed/22895994","taiwan","","taipei",30,30,30,4,28,NA,52.2,NA,840,">1year",2.301369863,1,NA,"28","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,1,18,43.1,9.18,0,18,46.3,10.3,NA,NA,NA,NA,NA,0.5,3.2,9.75608528,NA,9.18,0.328000413,NA,0.955223881,0.313313827,NA,0.058544008,NA,0.053418636,NA,0.5,226.546204620462,28.9827534923789,8.63734173747968,0.194059405940592,5.47722557505166,0.712857647695953,-8.78954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"211",211,63,"hsieh2012","hsieh","2012","exp",137,"high dose robot assisted therapy","http://www.ncbi.nlm.nih.gov/pubmed/22895994","taiwan","","taipei",30,30,30,4,28,NA,56.5,NA,860,">1year",2.356164384,1,NA,"28.5","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",1,1,18,42.8,8.86,0,18,48,8.2,NA,NA,NA,NA,NA,0.5,5.2,8.536380966,NA,8.86,0.609157443,NA,0.955223881,0.581881736,NA,0.065863133,NA,0.060096991,NA,0.5,246.546204620462,29.3257565972304,8.98034484233117,0.194059405940592,5.47722557505166,0.712857647695953,-4.48954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"212",212,64,"hui chan2009","hui chan","2009","ctrl",138,"no treatment?","http://www.ncbi.nlm.nih.gov/pubmed/19509438","china","","hong kong",0,0,0,1,28,56,56.6,7.9,1715.5,">1year",4.7,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"gait speed 4.6m","le","","speed","","speed","lohse",0,1,29,0.589,0.249,0,29,0.609,0.248,NA,NA,29,0.612,0.242,0.5,0.02,0.248500503,0.023,0.245524948,0.080482734,0.093676835,0.972972973,0.078307525,0.091145029,0.034594439,0.034634058,0.032749739,0.032787245,-0.5,1102.04620462046,41.4185948578655,21.0731831029663,-29.8059405940594,0,-4.76436792735571,-4.38954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"213",213,64,"hui chan2009","hui chan","2009","exp",139,"transcutaneous electrical stim only","http://www.ncbi.nlm.nih.gov/pubmed/19509438","china","","hong kong",0,0,0,1,28,56,56.6,7.9,1715.5,">1year",4.7,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"gait speed 4.6m","le","","speed","","speed","lohse",0,1,28,0.577,0.263,0,28,0.649,0.289,NA,NA,28,0.612,0.273,0.5,0.072,0.27630599,0.035,0.268046638,0.26058067,0.130574292,0.971962617,0.25327467,0.126913331,0.036926827,0.036018744,0.034885191,0.034027315,0.5,1102.04620462046,41.4185948578655,21.0731831029663,-29.8059405940594,0,-4.76436792735571,-4.38954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"214",214,64,"hui chan2009","hui chan","2009","exp",140,"placebo stim + task specific training","http://www.ncbi.nlm.nih.gov/pubmed/19509438","china","","hong kong",20,20,20,1,28,56,56.6,7.9,1715.5,">1year",4.7,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"gait speed 4.6m","le","","speed","","speed","lohse",0,1,25,0.507,0.245,0,25,0.606,0.297,NA,NA,25,0.613,0.286,0.5,0.099,0.272244376,0.106,0.266290255,0.363643876,0.398061882,0.968421053,0.352160385,0.385491506,0.042644737,0.043169065,0.039993912,0.040485647,0.5,1102.04620462046,41.4185948578655,21.0731831029663,-9.80594059405941,4.47213595499958,-0.292231972356128,-4.38954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"215",215,64,"hui chan2009","hui chan","2009","exp",141,"STIM + task specific training","http://www.ncbi.nlm.nih.gov/pubmed/19509438","china","","hong kong",20,20,20,1,28,56,56.6,7.9,1715.5,">1year",4.7,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"gait speed 4.6m","le","","speed","","speed","lohse",0,1,27,0.479,0.268,0,27,0.666,0.325,NA,NA,27,0.702,0.327,0.5,0.187,0.297866581,0.223,0.298959027,0.627797853,0.745921613,0.970873786,0.609512479,0.724195741,0.044335743,0.047340723,0.04179069,0.044623172,0.5,1102.04620462046,41.4185948578655,21.0731831029663,-9.80594059405941,4.47213595499958,-0.292231972356128,-4.38954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"228",228,66,"huseman2007","huseman","2007","ctrl",146,"conventional physiotherapy","http://www.ncbi.nlm.nih.gov/pubmed/17204680","germany","","bad aibling",20,20,20,1,28,NA,57,NA,89,"<90days",0.243835616,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"10mwt","le","","speed","","speed","lohse",1,1,14,0.12,0.11,0,14,0.2,0.19,NA,NA,NA,NA,NA,0.5,0.08,0.155241747,NA,0.11,0.515325301,NA,0.941176471,0.485012048,NA,0.080912863,NA,0.071673678,NA,-0.5,-524.453795379538,9.4339811320566,-10.9114306228426,-9.80594059405941,4.47213595499958,-0.292231972356128,-3.98954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"229",229,66,"huseman2007","huseman","2007","exp",147,"lokomat gait training","http://www.ncbi.nlm.nih.gov/pubmed/17204680","germany","","bad aibling",20,20,20,1,28,NA,60,NA,79,"<90days",0.216438356,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"10mwt","le","","speed","","speed","lohse",1,1,16,0.14,0.08,0,16,0.2,0.12,NA,NA,NA,NA,NA,0.5,0.06,0.10198039,NA,0.08,0.588348405,NA,0.949152542,0.558432385,NA,0.073317308,NA,0.06605087,NA,0.5,-534.453795379538,8.88819441731559,-11.4572173375836,-9.80594059405941,4.47213595499958,-0.292231972356128,-0.989544554455442,-14.0555775577558,5.29150262212918,-0.825679316863087
"234",234,69,"janssen2008","janssen","2008","ctrl",152,"cycling exercise","http://www.ncbi.nlm.nih.gov/pubmed/18295624","netherlands","","amsterdam",6,6,6,3,42,NA,53.3,NA,549,">1year",1.504109589,1,NA,"","","","",NA,"4.7","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",0,0,6,0.52,0.26,0,6,0.59,0.33,NA,NA,NA,NA,NA,0.5,0.07,0.297069016,NA,0.26,0.23563548,NA,0.842105263,0.198429878,NA,0.171293673,NA,0.121471414,NA,-0.5,-64.453795379538,23.43074902772,3.08533727282077,-23.8059405940594,2.44948974278318,-2.31487818457253,-7.68954455445544,-0.0555775577557753,6.48074069840786,0.363558759415592
"235",235,69,"janssen2008","janssen","2008","exp",153,"electrical stimulation plus cycling","http://www.ncbi.nlm.nih.gov/pubmed/18295624","netherlands","","amsterdam",6,6,6,3,42,NA,54.2,NA,369,">1year",1.010958904,1,NA,"","","","",NA,"4.5","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",0,0,6,0.44,0.37,0,6,0.51,0.41,NA,NA,NA,NA,NA,0.5,0.07,0.390512484,NA,0.37,0.179251632,NA,0.842105263,0.150948743,NA,0.169344262,NA,0.120089006,NA,0.5,-244.453795379538,19.2093727122985,-1.13603904260065,-23.8059405940594,2.44948974278318,-2.31487818457253,-6.78954455445544,-0.0555775577557753,6.48074069840786,0.363558759415592
"236",236,70,"jin2012","jin","2012","exp",154,"progressive cycling training with lower limb weights","http://www.ncbi.nlm.nih.gov/pubmed/22376194","china","","taixing",46.8,46.8,46.8,1,56,NA,57,NA,555,">1year",1.520547945,1,NA,"","","","",NA,"","",NA,"",47.9,NA,NA,"","",10.3,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",1,0,68,0.588,0.18,0,68,0.607,0.18,NA,NA,NA,NA,NA,0.5,0.019,0.18,NA,0.18,0.105555556,NA,0.988764045,0.104369538,NA,0.014787809,NA,0.014457365,NA,0.5,-58.453795379538,23.5584379787795,3.2130262238803,16.9940594059406,6.84105255059483,2.07668462323912,-3.98954455445544,13.9444224422442,7.48331477354788,1.36613283455561
"237",237,70,"jin2012","jin","2012","ctrl",155,"low-intensity over ground walking","http://www.ncbi.nlm.nih.gov/pubmed/22376194","china","","taixing",46.8,46.8,46.8,1,56,NA,56,NA,537,">1year",1.471232877,1,NA,"","","","",NA,"","",NA,"",47.4,NA,NA,"","",10.2,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",1,0,65,0.589,0.14,0,65,0.593,0.141,NA,NA,NA,NA,NA,0.5,0.004,0.14050089,NA,0.14,0.028469571,NA,0.988235294,0.028134634,NA,0.01539085,NA,0.015030843,NA,-0.5,-76.453795379538,23.1732604525129,2.82784869761374,16.9940594059406,6.84105255059483,2.07668462323912,-4.98954455445544,13.9444224422442,7.48331477354788,1.36613283455561
"238",238,71,"jin2013","jin","2013","exp",156,"progressive cycling intervention","http://www.ncbi.nlm.nih.gov/pubmed/23535796","china","","nanjing",40.2,40.2,40.2,1,84,NA,57.6,NA,561,">1year",1.536986301,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",1,0,65,0.59,0.178,0,65,0.609,0.179,NA,NA,NA,NA,NA,0.5,0.019,0.1785007,NA,0.178,0.106442159,NA,0.988235294,0.105189899,NA,0.015471769,NA,0.015109869,NA,0.5,-52.453795379538,23.685438564654,3.34002680975483,10.3940594059406,6.34034699365894,1.57597906630324,-3.38954455445544,41.9444224422442,9.16515138991168,3.04796945091941
"239",239,71,"jin2013","jin","2013","ctrl",157,"stretching with overground walking","http://www.ncbi.nlm.nih.gov/pubmed/23535796","china","","nanjing",4.8,4.8,4.8,1,84,NA,56.3,NA,537,">1year",1.471232877,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",1,0,63,0.59,0.142,0,63,0.593,0.144,NA,NA,NA,NA,NA,0.5,0.003,0.143003496,NA,0.142,0.020978508,NA,0.987854251,0.020723708,NA,0.015876509,NA,0.015493187,NA,-0.5,-76.453795379538,23.1732604525129,2.82784869761374,-25.0059405940594,2.19089023002066,-2.57347769733504,-4.68954455445544,41.9444224422442,9.16515138991168,3.04796945091941
"240",240,72,"johannsen2010","johannsen","2010","exp",158,"bilateral arm training with auditory cuing","http://www.ncbi.nlm.nih.gov/pubmed/19822721","uk","","birmingham",7.5,7.5,7.5,1,42,90,68.1,10.19,2253,">1year",6.17260274,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"fma-ue","ue","fma","","fma","","lohse",1,0,10,37.41,21.72,1,10,42.41,NA,1,0,10,38.51,NA,0.5,5,21.72,1.1,21.72,0.230202578,0.050644567,0.914285714,0.210470929,0.046303604,0.102649661,0.100128244,0.085806737,0.083699038,0.5,1639.54620462046,47.4657771452233,27.1203653903241,-22.3059405940594,2.73861278752583,-2.02575513982988,7.11045544554455,-0.0555775577557753,6.48074069840786,0.363558759415592
"241",241,72,"johannsen2010","johannsen","2010","exp",159,"bilateral leg training with auditory cuing","http://www.ncbi.nlm.nih.gov/pubmed/19822721","uk","","birmingham",7.5,7.5,7.5,1,42,90,59.5,13.4,1532,">1year",4.197260274,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"fma-le","le","","","","","lohse",1,0,11,25.39,3.33,1,11,28.19,NA,1,0,11,25.59,NA,0.5,2.8,3.33,0.2,3.33,0.840840841,0.06006006,0.923076923,0.776160776,0.055440055,0.12304606,0.091073055,0.10484398,0.07760071,0.5,918.546204620462,39.1407715815619,18.7953598266627,-22.3059405940594,2.73861278752583,-2.02575513982988,-1.48954455445544,-0.0555775577557753,6.48074069840786,0.363558759415592
"248",248,74,"jonsdottir2010","jonsdottir","2010","exp",162,"task oriented biofeedback with a progressive schedule","http://www.ncbi.nlm.nih.gov/pubmed/20053951","italy","","milan",15.75,15.75,15.75,1,49,91,61.6,NA,2153,">1year",5.898630137,0,NA,">24","","","",NA,"","",95.2,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"height normalized speed","le","","","","","lohse",0,1,10,28.7,10.8,0,10,39.6,7.6,NA,NA,9,38.8,8.9,0.5,10.9,9.338094024,10.1,9.951174923,1.167261753,1.014955528,0.914285714,1.067210746,0.92795934,0.168125,0.151506736,0.140538776,0.126647264,0.5,1539.54620462046,46.4004310324807,26.0550192775815,-14.0559405940594,3.96862696659689,-0.795740960758822,0.610455445544559,6.94442244224422,7,0.882818061007732
"249",249,74,"jonsdottir2010","jonsdottir","2010","ctrl",163,"conventional physiotherapy","http://www.ncbi.nlm.nih.gov/pubmed/20053951","italy","","milan",15.75,15.75,15.75,1,49,91,62.6,NA,657,">1year",1.8,0,NA,">24","","","",NA,"","",93.6,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"height normalized speed","le","","","","","lohse",0,1,10,26.3,11.9,0,10,27.9,14.3,NA,NA,9,28.4,14.3,0.5,1.6,13.15484702,2.1,13.08436427,0.121628172,0.160496907,0.914285714,0.1112029,0.14674003,0.100739671,0.101287963,0.084210141,0.084668469,-0.5,43.546204620462,25.6320112359526,5.2865994810534,-14.0559405940594,3.96862696659689,-0.795740960758822,1.61045544554456,6.94442244224422,7,0.882818061007732
"250",250,75,"jung2012","jung","2012","ctrl",164,"treadmill training","https://www.jstage.jst.go.jp/article/jpts/24/11/24_1133/_pdf","south korea","","seoul",7.5,7.5,7.5,1,21,NA,63.6,NA,462,">1year",1.265753425,1,NA,"26.3","","",">4",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"tug","le","","balance","","","lohse",0,0,10,23.8,4.9,0,10,23,5.2,NA,NA,NA,NA,NA,0.5,-0.8,5.052227232,NA,4.9,0.158346005,NA,0.914285714,0.144773491,NA,0.101253673,NA,0.084639805,NA,-0.5,-151.453795379538,21.4941852602047,1.14877350530548,-22.3059405940594,2.73861278752583,-2.02575513982988,2.61045544554456,-21.0555775577558,4.58257569495584,-1.53460624403643
"251",251,75,"jung2012","jung","2012","ctrl",165,"VR treadmill training","https://www.jstage.jst.go.jp/article/jpts/24/11/24_1133/_pdf","south korea","","seoul",7.5,7.5,7.5,1,21,NA,60.5,NA,378,">1year",1.035616438,1,NA,"26.4","","",">4",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"tug","le","","balance","","","lohse",0,0,11,21.9,3.5,0,11,19.2,4.5,NA,NA,NA,NA,NA,0.5,-2.7,4.031128874,NA,3.5,0.669787567,NA,0.923076923,0.618265446,NA,0.111300699,NA,0.094836099,NA,-0.5,-235.453795379538,19.4422220952236,-0.903189659675611,-22.3059405940594,2.73861278752583,-2.02575513982988,-0.489544554455442,-21.0555775577558,4.58257569495584,-1.53460624403643
"252",252,76,"kahn2006","kahn","2006","ctrl",166,"dosage matched unassisted reaching","http://www.jneuroengrehab.com/content/3/1/12","usa","CA","irvine",18,18,18,4,56,180,55.9,NA,3093,">1year",8.473972603,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"chedoke mcmaster","","","","","","lohse",0,0,9,3.2,1,1,9,3.5,NA,NA,NA,8,NA,NA,0.5,0.3,1,NA,1,0.3,NA,0.903225806,0.270967742,NA,0.116111111,NA,0.094725402,NA,-0.5,2479.54620462046,55.6147462459373,35.2693344910381,-11.8059405940594,4.24264068711928,-0.521727240236423,-5.08954455445544,13.9444224422442,7.48331477354788,1.36613283455561
"253",253,76,"kahn2006","kahn","2006","exp",167,"robot assisted reaching","http://www.jneuroengrehab.com/content/3/1/12","usa","CA","irvine",18,18,18,4,56,180,55.6,NA,2274,">1year",6.230136986,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"chedoke mcmaster","","","","","","lohse",0,0,10,3.5,0.9,1,10,3.7,NA,NA,NA,9,NA,NA,0.5,0.2,0.9,NA,0.9,0.222222222,NA,0.914285714,0.203174603,NA,0.102469136,NA,0.085655833,NA,0.5,1660.54620462046,47.6864760702655,27.3410643153663,-11.8059405940594,4.24264068711928,-0.521727240236423,-5.38954455445544,13.9444224422442,7.48331477354788,1.36613283455561
"270",270,81,"kim2009","kim","2009","ctrl",178,"CPT","http://www.ncbi.nlm.nih.gov/pubmed/19692788","south korea","","seoul",10.72,10.72,10.72,1,28,NA,51.75,7.09,727.5,">1year",1.993150685,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"bbs","le","","balance","","","lohse",0,0,12,46.67,3.75,0,12,48.25,4.22,NA,NA,NA,NA,NA,0.5,1.58,3.991923095,NA,3.75,0.395799208,NA,0.930232558,0.36818531,NA,0.089860709,NA,0.077759402,NA,-0.5,114.046204620462,26.9722079185224,6.62679616362316,-19.0859405940594,3.27414110874898,-1.49022681860673,-9.23954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"271",271,81,"kim2009","kim","2009","exp",179,"CPT + locomotor VR training","http://www.ncbi.nlm.nih.gov/pubmed/19692788","south korea","","seoul",18.7,18.7,18.7,1,28,NA,52.42,10.09,777.3,">1year",2.129589041,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"bbs","le","","balance","","","lohse",0,0,12,44.42,5.99,0,12,51.17,4.02,NA,NA,NA,NA,NA,0.5,6.75,5.101004803,NA,5.99,1.323268701,NA,0.930232558,1.230947629,NA,0.156293336,NA,0.13524572,NA,0.5,163.846204620462,27.8801004302352,7.53468867533599,-11.1059405940594,4.32434966208793,-0.440018265267777,-8.56954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
